STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
DAN,D,3,SNOW WC,20000605 0000,20000605 0300,1.30, ,INCHES
DAN,D,3,SNOW WC,20000606 0000,20000606 0300,1.30, ,INCHES
DAN,D,3,SNOW WC,20000607 0000,20000607 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000608 0000,20000608 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000609 0000,20000609 0200,1.30, ,INCHES
DAN,D,3,SNOW WC,20000610 0000,20000610 0200,1.30, ,INCHES
DAN,D,3,SNOW WC,20000611 0000,20000611 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000612 0000,20000612 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000613 0000,20000613 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000614 0000,20000614 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000615 0000,20000615 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000616 0000,20000616 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000617 0000,20000617 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000618 0000,20000618 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000619 0000,20000619 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000620 0000,20000620 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000621 0000,20000621 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000622 0000,20000622 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000623 0000,20000623 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000624 0000,20000624 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000625 0000,20000625 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000626 0000,20000626 0200,0.65, ,INCHES
DAN,D,3,SNOW WC,20000627 0000,20000627 0200,0.65, ,INCHES
